,oil_rents,map
819,3.4370164375021806,HPC2012
820,2.8813725587872403,HPC2013
821,2.3252270588559196,HPC2014
822,0.803008273101518,HPC2015
823,0.6878610852618999,HPC2016
824,1.32065742970737,HPC2017
825,,HPC2018
826,,HIC1960
827,,HIC1961
828,,HIC1962
829,,HIC1963
830,,HIC1964
831,,HIC1965
832,,HIC1966
833,,HIC1967
834,,HIC1968
835,,HIC1969
836,0.35814089648463004,HIC1970
837,0.39505098653363796,HIC1971
838,0.42049109445933,HIC1972
839,0.507218328120333,HIC1973
840,1.8704225598658502,HIC1974
841,1.64096332851417,HIC1975
842,1.8214068701421398,HIC1976
843,1.82029173997015,HIC1977
844,1.54595071038903,HIC1978
845,2.80853630371471,HIC1979
846,3.3745621397883703,HIC1980
847,2.7274097255029703,HIC1981
848,1.6316807261905801,HIC1982
849,1.7427088541901699,HIC1983
850,1.67940513358171,HIC1984
851,1.4374725593021398,HIC1985
852,0.600015744831046,HIC1986
853,0.748418553618109,HIC1987
854,0.536864163882675,HIC1988
855,0.7484423553854671,HIC1989
856,0.9340793684635029,HIC1990
857,0.5682223009257651,HIC1991
858,0.5787164774562851,HIC1992
859,0.546191958359114,HIC1993
860,0.46858777765043497,HIC1994
861,0.47028352424847497,HIC1995
862,0.612632466710877,HIC1996
863,0.518449630643166,HIC1997
864,0.277639700789312,HIC1998
865,0.441915707738246,HIC1999
866,0.8294923808013159,HIC2000
867,0.6055027513787979,HIC2001
868,0.579206513721107,HIC2002
869,0.6573992475514959,HIC2003
870,0.814319287832706,HIC2004
871,1.12295358684335,HIC2005
872,1.22110891630564,HIC2006
873,1.1766170608786102,HIC2007
874,1.60752117958276,HIC2008
875,0.890764195988142,HIC2009
876,1.15394704307824,HIC2010
877,1.6805915505630902,HIC2011
878,1.6513506442639199,HIC2012
879,1.5736852358342999,HIC2013
880,1.3959971851755602,HIC2014
881,0.6481530674872149,HIC2015
882,0.5648231646996701,HIC2016
883,0.736500290532713,HIC2017
884,,HIC2018
885,,IBD1960
886,,IBD1961
