code,year,residual
EGY,1974,0.8710317268199137
EGY,1975,0.6846942321449737
EGY,1976,0.5778849398086863
EGY,1977,0.5446047049407738
EGY,1978,-0.2658099576404023
EGY,1979,0.4437961853367386
EGY,1980,-0.23220037094746482
EGY,1981,-0.21968021830686724
EGY,1982,-0.16508587453926427
EGY,1983,-0.3974241295725479
EGY,1984,-0.15195105385935548
EGY,1985,-0.4134169736487425
EGY,1986,-0.6533621548290595
EGY,1987,-0.5307026689557897
EGY,1988,-0.4892837568243806
EGY,1989,-0.35815895549083393
EGY,1990,-0.38714521990423295
EGY,1991,-0.6207379986215042
EGY,1992,0.38500368794137335
EGY,1993,0.3527414822377044
EGY,1994,-0.5394484029350477
EGY,1995,-0.6483596379433164
EGY,1996,-0.5749651876180275
EGY,1997,-0.4004751618156559
EGY,1998,-0.19928279407754132
EGY,1999,-0.1699389009480557
EGY,2000,-0.268608264674916
EGY,2001,-0.5632632370509822
EGY,2002,-0.5341687498532065
EGY,2003,-0.472318039957746
EGY,2004,-0.36659899417658826
EGY,2005,-0.18285296651419786
EGY,2006,-0.344820106626275
EGY,2007,-0.27655298618982116
EGY,2008,-0.21113829508903076
EGY,2009,-0.25979963672014683
EGY,2010,-0.3421458495957239
EGY,2011,-0.03763169861441454
EGY,2012,-0.09671568298646532
EGY,2013,0.1742819386236363
EGY,2014,0.3572594580691157
EGY,2015,-0.05322892452743333
EGY,2016,-0.18949670478956557
ERI,1992,-14.35579432245782
ERI,1993,-13.403703386757412
ERI,1994,-1.9109686203923562
ERI,1995,-0.6872896171054657
ERI,1996,-0.5549169523692062
ERI,1997,-0.3715483228932238
ERI,1998,-0.8648595516802939
ERI,1999,-0.8205495552151291
ERI,2000,-0.793529567016745
ERI,2001,0.5779558560290761
ERI,2002,1.0659312352489683
ERI,2003,1.151706620079101
ERI,2004,0.7688835578112028
ERI,2005,0.31494338467615884
ERI,2006,0.6931749029980956
ERI,2007,0.09033786494719914
ERI,2008,0.03680669700084288
ERI,2009,0.550020390054198
ERI,2010,0.4280720167295135
ERI,2011,-0.582076539345145
ESP,1970,1.2836594494324738
ESP,1971,1.3961259475122074
ESP,1972,1.5175340953054275
ESP,1973,1.153693527576041
ESP,1974,1.432149998374691
ESP,1975,1.374239660956329
ESP,1976,1.1358329301912224
ESP,1977,1.3332312881581403
ESP,1978,1.2257020981102689
ESP,1979,1.2720538340089456
ESP,1980,1.1829115647876853
ESP,1981,0.824608762471302
ESP,1982,0.6899040930425371
ESP,1983,0.7260509156880502
ESP,1984,0.7941606380460462
ESP,1985,1.0255488501607373
ESP,1986,0.9024691724071856
ESP,1987,1.0014573210016802
ESP,1988,1.243320977634781
ESP,1989,0.7448139901792383
ESP,1990,0.6714040552857499
ESP,1991,0.3647072047912053
ESP,1992,-0.03766127419641788
ESP,1993,0.11628340834811435
ESP,1994,0.4122363729122054
ESP,1995,0.2977601002235941
ESP,1996,0.809552738486261
ESP,1997,0.7417619298791267
ESP,1998,0.4624540796915738
ESP,1999,0.2093561238574384
ESP,2000,0.3088669083404183
ESP,2001,0.42956803435501345
ESP,2002,0.13460355358537612
ESP,2003,-0.07170041306806804
ESP,2004,0.19467923314430308
ESP,2005,0.20511107509171578
ESP,2006,-0.020699975790167302
ESP,2007,0.056664157034711615
ESP,2008,0.0010738129662266616
ESP,2009,-0.10610784757766373
ESP,2010,0.038550007364538286
ESP,2011,0.23210915714134017
ESP,2012,0.11435622583557692
ESP,2013,0.1726999324383683
ESP,2014,0.1543081217507506
ESP,2015,0.19916204748394123
ESP,2016,-0.0820423159152589
EST,1995,-0.05843652444008529
EST,1996,0.3037141835975838
EST,1997,0.32573328490159303
EST,1998,0.5368147048512633
EST,1999,0.6344622224655923
EST,2000,0.08623066564464124
EST,2001,0.2573495276864315
EST,2002,0.19300910116424205
EST,2003,0.2784809471321039
EST,2004,0.6281359548024354
EST,2005,0.5042936202191769
EST,2006,0.348742137811413
EST,2007,0.26608210730807413
EST,2008,0.19994554618482185
EST,2009,0.11502427398215304
EST,2010,0.401913899991631
EST,2011,0.6985186996296242
EST,2012,0.4579409220357755
EST,2013,0.4548795342275929
EST,2014,0.6168750267622289
EST,2015,0.42980757505895434
EST,2016,0.17584598420604866
ETH,1981,-0.41341138096316965
ETH,1982,-0.23768967089923193
ETH,1983,-0.6278756898055149
ETH,1984,-0.6869970508824601
ETH,1985,-0.5676167616759482
ETH,1986,-0.43919469984070303
ETH,1987,-0.45927247429763735
ETH,1988,-0.5595447183248556
ETH,1989,-0.5368404602801502
ETH,1990,-0.20862989208069743
ETH,1991,-0.5674081550760894
ETH,1992,0.4186511905838479
ETH,1993,0.33742958303634707
