,res_rents,map
883,1.23316592948268,HIC2017
884,,HIC2018
885,,IBD1960
886,,IBD1961
887,,IBD1962
888,,IBD1963
889,,IBD1964
890,,IBD1965
891,,IBD1966
892,,IBD1967
893,,IBD1968
894,,IBD1969
895,2.4874646739254,IBD1970
896,2.55003693712782,IBD1971
897,2.79047062639078,IBD1972
898,3.85602171002861,IBD1973
899,9.268235007623948,IBD1974
900,8.831107270759777,IBD1975
901,9.36927162287228,IBD1976
902,9.12856096595961,IBD1977
903,8.596794625628071,IBD1978
904,12.2121112981038,IBD1979
905,13.4481818416602,IBD1980
906,10.062915597019801,IBD1981
907,8.77045369375206,IBD1982
908,9.24131338565563,IBD1983
909,8.441335550097058,IBD1984
910,8.17464050867677,IBD1985
911,4.59198350810696,IBD1986
912,5.895713137119781,IBD1987
913,5.55461556019791,IBD1988
914,7.32278706957545,IBD1989
915,8.241459409636299,IBD1990
916,4.68634451599534,IBD1991
917,4.75531385451925,IBD1992
918,4.4566855445835305,IBD1993
919,3.81783747605544,IBD1994
920,3.98961260529321,IBD1995
921,4.36234154029483,IBD1996
922,3.72029334939666,IBD1997
923,2.31576010679393,IBD1998
924,3.2699397540406903,IBD1999
925,5.52379832184244,IBD2000
926,4.95868975029497,IBD2001
927,4.80543257961094,IBD2002
928,5.2482869528218,IBD2003
929,7.169761637757009,IBD2004
930,8.52654198503364,IBD2005
931,9.39493967573342,IBD2006
932,9.1571825666747,IBD2007
933,11.397735395862696,IBD2008
934,6.36215514802549,IBD2009
935,7.877675203503839,IBD2010
936,9.603728488705679,IBD2011
937,7.7058824733918,IBD2012
938,6.58962923755275,IBD2013
939,5.566685392887889,IBD2014
940,3.24446795658791,IBD2015
941,2.8352514646104803,IBD2016
942,3.5125165934899,IBD2017
943,,IBD2018
944,,IBT1960
